OrderItemID,OrderID,ProductID,Quantity,UnitPrice
1,1,336,1,188.01
2,1,15657,2,74.58
3,2,17426,2,98.73
4,2,1184,1,193.25
5,3,6188,2,37.48
6,3,1647,3,14.4
7,4,2453,5,22.15
8,5,4691,4,181.45
9,5,1255,2,34.76
10,5,7908,2,120.91
11,6,2892,2,78.54
12,6,14150,5,64.14
13,7,11268,4,163.56
14,7,15725,4,24.29
15,7,695,1,147.28
16,8,13100,1,89.54
17,8,9022,1,198.44
18,8,16343,2,194.44
19,8,1870,2,96.53
20,9,7102,2,70.13
21,9,18371,2,52.85
22,9,16756,4,80.27
23,9,18988,5,166.48
24,9,9086,1,83.16
25,10,12104,2,75.52
26,11,840,2,38.58
27,11,17491,5,99.02
28,12,10045,2,173.53
29,12,2432,5,28.34
30,12,11595,1,190.25
31,12,6873,2,49.38
32,13,14371,2,144.92
33,13,12026,5,20.01
34,14,355,5,158.33
35,14,18262,1,16.95
36,15,13303,4,131.92
37,15,11123,4,108.59
38,15,12393,1,45.71
39,15,13674,1,176.54
40,16,1555,5,57.28
41,16,7303,4,125.39
42,16,555,2,83.76
43,16,12460,4,28.08
44,17,10980,1,136.07
45,17,12657,5,51.77
46,18,4558,1,168.57
47,18,3378,2,53.67
48,18,8464,3,129.15
49,19,4052,4,140.79
50,19,17492,4,101.46
51,20,11753,1,114.69
52,20,688,5,167.46
53,21,19231,4,102.26
54,21,15702,1,187.25
55,22,2269,1,15.78
56,22,7287,1,146.48
57,23,7849,4,55.61
58,23,5552,1,62.04
59,24,12666,1,9.13
60,25,7564,3,103.12
61,25,280,2,107.87
62,25,13520,4,167.75
63,25,16631,4,138.31
64,26,17767,4,198.66
65,26,11362,5,156.06
66,26,1168,3,23.04
67,26,19627,3,27.6
68,27,18343,4,136.19
69,27,11186,5,170.04
70,27,3942,3,9.9
71,28,15260,3,87.22
72,28,9519,3,166.68
73,28,17826,4,91.92
74,28,12360,5,149.93
75,28,5046,5,146.77
76,29,11415,2,21.68
77,30,6550,4,169.84
78,30,6999,1,5.68
79,31,16408,2,171.21
80,32,16080,1,22.92
81,32,13999,3,94.08
82,32,14559,1,116.53
83,32,287,1,121.33
84,33,4104,2,39.23
85,33,1541,3,79.56
86,34,19261,1,103.51
87,34,8700,2,127.49
88,35,1748,1,130.3
89,35,2364,1,145.79
90,35,708,4,38.08
91,35,1843,2,151.71
92,36,10369,5,194.38
93,36,7876,2,121.82
94,37,967,5,104.5
95,38,8571,3,150.94
96,38,4377,2,132.7
97,38,7368,2,9.59
98,38,15310,1,86.52
99,39,3118,5,61.77
100,39,4168,2,24.1
101,39,8753,3,43.96
102,40,15633,5,99.06
103,40,11918,5,53.65
104,41,14940,2,48.24
105,41,13626,3,74.13
106,42,18571,1,40.76
107,42,16463,5,163.36
108,42,2027,1,31.31
109,42,17671,4,116.56
110,43,7042,1,178.16
111,43,13559,5,140.26
112,43,8351,3,99.41
113,43,7391,5,16.61
114,44,13727,3,130.1
115,44,19434,5,87.65
116,45,1774,5,98.48
117,45,15541,4,160.4
118,46,16446,2,121.11
119,46,8334,4,181.1
120,46,16012,4,172.26
121,47,9821,1,92.37
122,48,4417,4,66.62
123,48,11625,5,93.47
124,48,18263,4,194.45
125,48,8360,1,128.87
126,49,16583,4,47.53
127,49,8405,2,94.23
128,50,8139,4,119.91
129,50,10949,1,191.48
130,50,11382,3,77.81
131,51,12,3,188.67
132,51,16758,2,26.08
133,51,16877,4,79.04
134,51,3165,2,14.95
135,52,14739,1,105.79
136,52,2175,3,16.24
137,53,424,5,27.89
138,54,8191,3,120.64
139,54,10005,4,79.92
140,54,7343,3,12.12
141,54,19937,4,121.29
142,55,7322,5,14.71
143,56,16818,5,55.72
144,56,12180,5,78.93
145,56,16152,4,110.93
146,57,758,5,113.02
147,57,7884,1,163.34
148,57,9069,4,14.5
149,57,5974,1,6.08
150,58,1531,1,31.24
151,58,10951,3,136.44
152,58,15874,3,149.51
153,58,94,2,132.22
154,59,19976,3,81.33
155,59,19255,4,97.11
156,60,3821,4,146.97
157,61,7891,1,55.15
158,61,11837,3,16.49
159,62,1722,1,169.38
160,62,14014,4,150.41
161,62,2893,4,40.7
162,63,2519,5,152.39
163,63,10186,3,26.84
164,63,2610,5,62.71
165,63,18292,2,165.98
166,64,7967,2,49.74
167,65,7053,3,28.45
168,65,9627,3,189.83
169,65,15448,4,78.03
170,65,580,3,54.16
171,65,5584,4,198.62
172,66,1256,5,91.2
173,66,7312,3,169.98
174,66,8515,3,137.89
175,67,6721,1,183.76
176,68,4874,1,86.11
177,69,4159,4,39.59
178,69,12142,4,117.2
179,69,19934,2,171.82
180,69,13609,1,38.68
181,70,17716,2,185.56
182,70,6677,1,53.01
183,71,5763,3,89.23
184,71,18236,5,100.9
185,71,19498,3,163.83
186,71,9993,5,181.99
187,72,19184,1,85.29
188,72,19947,5,155.87
189,72,10917,4,115.75
190,73,14475,4,26.73
191,73,5599,1,122.63
192,74,1172,2,102.49
193,74,7179,3,189.84
194,74,13856,5,119.75
195,74,8063,3,112.72
196,75,8913,4,41.73
197,76,9597,3,91.66
198,76,11309,2,135.54
199,76,15807,5,109.46
200,76,4808,4,72.8
201,76,3711,3,107.52
202,77,19001,4,127.73
203,77,16026,2,168.66
204,78,10922,1,39.35
205,78,1206,2,63.81
206,78,12132,2,130.04
207,78,13257,1,168.8
208,79,9211,4,196.13
209,79,10931,5,164.54
210,79,14068,1,156.03
211,80,4740,4,183.06
212,80,4656,1,38.0
213,81,13880,4,174.97
214,81,16076,2,104.1
215,81,553,3,112.51
216,82,7270,4,57.34
217,83,17302,3,66.07
218,83,16957,4,16.77
219,84,10285,5,137.53
220,84,10328,3,158.53
221,84,9204,1,34.65
222,85,3870,2,156.79
223,85,4175,3,49.32
224,85,14216,5,127.16
225,85,19536,3,46.04
226,86,13428,4,151.32
227,86,4533,4,130.28
228,86,19725,2,102.31
229,87,12738,1,147.55
230,88,5968,2,199.86
231,88,201,4,166.08
232,89,12091,4,71.99
233,89,16124,3,90.39
234,90,17233,2,191.96
235,90,6021,1,22.47
236,91,11426,5,52.27
237,91,16820,2,23.98
238,91,894,3,39.91
239,91,17657,4,170.63
240,92,10421,3,90.27
241,92,7024,4,82.5
242,93,18775,1,28.25
243,94,2505,3,56.68
244,94,13684,4,53.56
245,94,18256,3,194.08
246,94,11448,2,35.31
247,95,8046,1,69.54
248,95,13932,3,44.61
249,95,11352,1,21.16
250,95,17928,1,169.16
251,96,2007,3,160.46
252,96,18704,3,20.14
253,96,9024,5,96.04
254,96,2783,2,183.12
255,97,1136,3,94.82
256,97,6925,5,128.42
257,97,11200,4,126.25
258,98,5376,1,26.29
259,98,1084,5,198.39
260,99,6801,1,51.79
261,99,7233,2,78.71
262,99,13853,3,77.5
263,100,10396,3,6.11
264,100,8393,3,183.88
265,101,10243,4,142.0
266,101,5587,1,134.32
267,101,53,4,55.24
268,101,10654,4,104.73
269,102,8914,4,47.28
270,103,16927,1,164.38
271,103,17265,3,120.71
272,103,17200,2,151.77
273,104,11889,2,14.87
274,104,15430,1,170.4
275,104,2294,5,39.22
276,104,7481,1,151.23
277,105,8953,1,7.34
278,105,17126,1,66.91
279,105,6697,3,99.71
280,106,11952,3,149.19
281,106,19535,5,27.16
282,106,7022,2,82.15
283,106,113,2,176.35
284,107,3645,5,140.05
285,107,15321,2,149.11
286,107,325,2,106.59
287,108,2901,3,107.29
288,108,1800,4,92.39
289,108,5959,1,83.37
290,109,4496,5,30.88
291,109,14314,5,107.79
292,109,12282,2,106.61
293,109,18476,3,62.24
294,110,4538,5,33.53
295,110,15967,5,9.99
296,110,4718,2,147.39
297,111,18200,4,170.33
298,111,6394,5,68.46
299,111,7115,2,86.57
300,112,18405,1,113.2
